Rank,Name,Platform,Year,Genre,Publisher
14639,Spectral Souls: Resurrection of the Ethereal Empires,PSP,2005,ROLEPLAYING,Idea Factory
7757,Dynasty Warriors: Gundam 2,X360,2008,ACTION,Namco Bandai Games
15367,Jinguuji Saburou DS: Akai Chou,DS,2010,ADVENTURE,Arc System Works
4605,Hot Wheels World Race,PS2,2003,RACING,THQ
5095,Trivial Pursuit,X360,2009,MISC,Electronic Arts
2573,Final Fantasy Anthology,PS,1999,ROLEPLAYING,Square EA
5580,The Witcher: Enhanced Edition,PC,2008,ROLEPLAYING,Atari
11904,SpongeBob's Truth or Square,PSP,2009,ACTION,THQ
5163,The Chronicles of Narnia: Prince Caspian,WII,2008,ACTION,Disney Interactive Studios
10245,Touch Detective 2 1/2,DS,2007,ADVENTURE,505 Games
15806,Kimi ni Todoke: Sodateru Omoi,DS,2009,ADVENTURE,Banpresto
375,Kung Fu,NES,1985,ACTION,Nintendo
1002,The Urbz: Sims in the City,PS2,2004,SIMULATION,Electronic Arts
2518,Custer's Revenge,_2600,1981,ACTION,Mystique
8495,Robotech: Battlecry,GC,2002,SHOOTER,TDK Mediactive
13647,Great Battle Full Blast,PSP,2012,ACTION,Namco Bandai Games
15860,Kadenz fermata//Akkord:fortissimo,PSV,2014,ADVENTURE,5pb
10273,Transformers: Beast Wars Transmetals,PS,2000,FIGHTING,BAM! Entertainment
1656,FIFA Soccer 11,PSP,2010,SPORTS,Electronic Arts
2863,Omerta: City of Gangsters,X360,2011,SIMULATION,Konami Digital Entertainment
11621,GOTHA: Ismailia Seneki,SAT,1995,STRATEGY,Sega
3946,Monopoly Party,PS2,2002,MISC,Infogrames
4253,SingStar Amped,PS2,2007,MISC,Sony Computer Entertainment
15529,Prism Ark: Awake,PS2,2008,ADVENTURE,5pb
4121,Harvest Moon DS (US sales),DS,2005,SIMULATION,Rising Star Games
8446,Dragon Ball: Fusions,_3DS,2016,ROLEPLAYING,Namco Bandai Games
5556,Dragon Ball Z: Extreme Butoden,_3DS,2015,FIGHTING,Namco Bandai Games
10456,Army Corps of Hell,PSV,2011,ACTION,Square Enix
8319,Pro Evolution Soccer 2014,PSP,2013,ACTION,Konami Digital Entertainment
1000,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,ACTION,THQ
15424,Ro-Kyu-Bu! Lost Secret,PSP,2013,ADVENTURE,Kadokawa Shoten
1581,Wheel of Fortune,PS,1998,MISC,Hasbro Interactive
5402,Carnival,_2600,1981,SHOOTER,Coleco
2003,Bomberman 64,N64,1997,PUZZLE,Hudson Soft
6205,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016,ACTION,Square Enix
12178,R-Type Command,PSP,2007,STRATEGY,Rising Star Games
3522,Beyond The Beyond,PS,1995,ROLEPLAYING,Sony Computer Entertainment
15778,Dunamis 15,X360,2011,ADVENTURE,5pb
3977,Madden NFL 07,WII,2006,SPORTS,Electronic Arts
10240,Gabrielle's Ghostly Groove 3D,_3DS,2011,ADVENTURE,Funbox Media
12453,Shining Force Feather,DS,2009,STRATEGY,Sega
14834,Ducati Moto,DS,2008,RACING,Vir2L Studios
13750,Harukanaru Toki no Naka de 5,PSP,2011,ROLEPLAYING,Tecmo Koei
14198,Game of Thrones (Telltale),X360,2015,ADVENTURE,Telltale Games
5736,Mortal Kombat: Shaolin Monks,XB,2005,ACTION,Midway Games
14347,Atelier Sophie: The Alchemist of the Mysterious Book,PS3,2015,ROLEPLAYING,Tecmo Koei
5093,Tobal 2,PS,1997,FIGHTING,SquareSoft
14521,BRAHMA Force: The Assault on Beltlogger 9,PS,1996,SHOOTER,JVC
7550,State of Decay,XONE,2015,STRATEGY,Microsoft Game Studios
10488,Road Rash: Jailbreak,GBA,2003,RACING,Zoo Digital Publishing
16299,Legend of Kay Anniversary,WIIU,2015,ACTION,Nordic Games
9479,Harvest Moon DS (jp sales),DS,2005,SIMULATION,Rising Star Games
10899,Virtua Fighter CG Portrait Series Vol.3: Akira Yuki,SAT,1995,MISC,Sega
14105,Adventure Time: Explore the Dungeon Because I Don't Know!,WIIU,2013,ACTION,D3Publisher
15848,W.L.O. Sekai Renai Kikousen,X360,2010,ADVENTURE,5pb
458,Mass Effect 3,X360,2012,ROLEPLAYING,Electronic Arts
10599,NASCAR The Game: Inside Line,X360,2012,RACING,Activision
4363,One Piece: Pirate Warriors 3,PS4,2015,ACTION,Namco Bandai Games
11804,Bomberman Max 2: Red Advance,GBA,2002,PUZZLE,Vivendi Games
13282,VR Soccer '96,PS,1996,SPORTS,Gremlin Interactive Ltd
3024,Star Wars: Republic Commando,XB,2005,SHOOTER,Activision
15694,Prince of Stride,PSV,2015,ADVENTURE,Kadokawa Games
7454,LEGO The Hobbit,PSV,2014,ACTION,Warner Bros. Interactive Entertainment
8716,Prince of Persia: The Forgotten Sands,DS,2010,ACTION,Ubisoft
10558,Pro Evolution Soccer 2016,XONE,2015,SPORTS,Konami Digital Entertainment
14099,Luminous Arc 3,DS,2009,ROLEPLAYING,Marvelous Interactive
8729,"Warhammer 40,000: Fire Warrior",PS2,2003,SHOOTER,THQ
14735,My Animal Centre,WII,2009,SIMULATION,Deep Silver
7271,Rugby 2004,PS2,2003,SPORTS,Electronic Arts
6507,The Elder Scrolls IV: Oblivion,PC,2006,ROLEPLAYING,Take-Two Interactive
14274,Jig-A-Pix: Wild World,DS,2009,PUZZLE,Zushi Games
9730,Lemony Snicket's A Series of Unfortunate Events,XB,2004,PLATFORM,Activision
4139,FIFA World Cup Germany 2006,X360,2006,SPORTS,Electronic Arts
13535,Monster Trux Arenas: Special Edition,WII,2007,RACING,Popcorn Arcade
16290,TimeShift,PC,2007,SHOOTER,Vivendi Games
13460,Sotsugyou II: Neo Generation,PS,1995,SIMULATION,Riverhillsoft
16265,"Hanayaka Kana, Ware ga Ichizoku",PSP,2010,ADVENTURE,Idea Factory
9478,Grand Knights History,PSP,2011,ROLEPLAYING,Marvelous Interactive
10483,Etrian Odyssey II: Heroes of Lagaard,_3DS,2014,ROLEPLAYING,Atlus
8641,Saturday Night Slam Masters,SNES,1994,FIGHTING,Capcom
107,Crash Bandicoot 3: Warped,PS,1998,PLATFORM,Sony Computer Entertainment
11287,RockMan EXE 4.5 Real Operation,GBA,2004,ROLEPLAYING,Capcom
10157,Contra Advance: The Alien Wars EX,GBA,2002,SHOOTER,Konami Digital Entertainment
5819,Yuu Yuu Hakusho 2: Kakutou no Sho,SNES,1994,FIGHTING,Namco Bandai Games
4737,Monster Trucks Mayhem,WII,2009,RACING,Zoo Games
2682,Maximo: Ghosts to Glory,PS2,2001,PLATFORM,Capcom
15201,Darksiders,PS3,2010,ACTION,THQ
954,Sonic & Knuckles,GEN,1994,PLATFORM,Sega
4236,Razor Freestyle Scooter,PS,1999,SPORTS,Ubisoft
8863,Derby Stallion 64,N64,2001,SPORTS,Media Factory
8441,Splatterhouse,PS3,N/A,ACTION,Namco Bandai Games
2297,Rhythm Heaven,WII,N/A,MISC,Unknown
9698,Gundam Battle Royale,PSP,2006,ACTION,Namco Bandai Games
4113,2010 FIFA World Cup South Africa,PSP,2010,SPORTS,Electronic Arts
4839,Star Wars The Clone Wars: Republic Heroes,X360,2009,ACTION,LucasArts
13835,The Movies,PC,2005,SIMULATION,Activision
10000,Yakuza,PS3,2012,ACTION,Sega
3892,SoulCalibur: Broken Destiny,PSP,2009,FIGHTING,Namco Bandai Games
3987,Bases Loaded '96: Double Header,PS,1995,SPORTS,Jaleco
7093,Alundra,PS,1997,ROLEPLAYING,Psygnosis
16090,Major Dream: Major Wii Nagero! Gyroball!!,WII,2008,SPORTS,Takara Tomy
16012,Kimi no Yuusha,DS,2008,ROLEPLAYING,SNK Playmore
3908,Rugrats: Scavenger Hunt,N64,1999,MISC,THQ
11086,Captain Tsubasa: Aratanaru Densetsu Joshou,PS,2002,SPORTS,Konami Digital Entertainment
3645,The Activision Decathlon,_2600,1982,SPORTS,Activision
8268,PlayStation Move Heroes,PS3,2011,PLATFORM,Sony Computer Entertainment
5871,The Sims 2,PC,2004,SIMULATION,Electronic Arts
10606,Rock Band 3,DS,2010,MISC,MTV Games
2433,Need for Speed: Nitro,WII,2009,RACING,Electronic Arts
9218,Ninjatown,DS,2008,STRATEGY,SouthPeak Games
16196,K-1 Grand Prix,PS,1999,FIGHTING,Jaleco
14800,Clannad: Mitsumi Mamoru Sakamichi de - Gekan,PSP,2010,ADVENTURE,Prototype
4854,Wii Sports Club,WIIU,2014,SPORTS,Nintendo
159,Assassin's Creed,X360,2007,ADVENTURE,Ubisoft
11600,Outlaw Tennis,PS2,2005,SPORTS,Global Star
8312,Cabela's Legendary Adventures,PSP,2008,SPORTS,Activision
13442,Thrillville: Off the Rails,DS,2007,STRATEGY,LucasArts
5802,Astroblast,_2600,1981,ACTION,Mattel Interactive
3217,X-Man,_2600,1982,ACTION,Universal Gamex
3936,Euro Truck Simulator,PC,2008,SIMULATION,Rondomedia
11149,Age of Mythology,PC,2002,STRATEGY,Microsoft Game Studios
12308,Rugby 15,PSV,2015,SPORTS,Bigben Interactive
6995,Starsky & Hutch,XB,2003,RACING,Empire Interactive
9027,Ratatouille,GC,2007,ACTION,THQ
12139,God Hand,PS2,2006,ACTION,Capcom
6817,K-1 Revenge,PS,1997,FIGHTING,Xing Entertainment
16258,No Fate! Only the Power of Will,X360,2010,ADVENTURE,Alchemist
15106,Blade Arcus from Shining EX,PS3,2015,FIGHTING,Sega
431,Fallout: New Vegas,PS3,2010,ROLEPLAYING,Bethesda Softworks
1586,Star Wars: The Force Unleashed,PS2,2008,ACTION,LucasArts
10310,Starsky & Hutch,GC,2003,RACING,BAM! Entertainment
9994,FIFA Soccer,PSP,2005,SPORTS,Electronic Arts
13170,Chousoku Henkei Gyrozetter: Albatross no Tsubasa,_3DS,2013,ROLEPLAYING,Square Enix
8523,Kawa no Nushi Tsuri,PS,1998,SPORTS,Victor Interactive
8221,The Wild Thornberrys: Animal Adventures,PS,2000,ADVENTURE,Mattel Interactive
16139,Dragon's Dogma Online: Season 2,PS4,2016,ACTION,Capcom
8720,Courier Crisis,PS,1997,RACING,BMG Interactive Entertainment
12002,Rayman 3: Hoodlum Havoc,GC,2003,PLATFORM,Ubisoft
49,Super Mario Galaxy,WII,2007,PLATFORM,Nintendo
598,Ratchet & Clank: Up Your Arsenal,PS2,2004,PLATFORM,Sony Computer Entertainment
2186,NCAA Football 2000,PS,1999,SPORTS,Electronic Arts
4243,Kessen II,PS2,2001,STRATEGY,THQ
16463,"Horse Life 4: My Horse, My Friend, My Champion",_3DS,2015,ACTION,Unknown
10372,Jampack Volume 14 (RP-T),PS2,2006,MISC,Sony Computer Entertainment
10701,Scribblenauts Unmasked: A DC Comics Adventure,_3DS,2013,PUZZLE,Warner Bros. Interactive Entertainment
12276,Bionicle,XB,2003,ACTION,Electronic Arts
10699,Fate/hollow ataraxia,PSV,2014,ADVENTURE,Type-Moon
16312,Rally Championship,GC,2003,RACING,SCi
3132,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,2008,MISC,Namco Bandai Games
10332,Kirarin * Revolution: Kira Kira Idol Audition,DS,2006,SIMULATION,Konami Digital Entertainment
5155,Transformers: Dark of the Moon,PS3,2011,ACTION,Activision
3641,WWF Raw,XB,2002,FIGHTING,THQ
7643,Total War: Shogun 2 - Fall of the Samurai,PC,2012,STRATEGY,Sega
13878,Holly Hobbie & Friends,DS,2007,MISC,Majesco Entertainment
2313,Madden NFL 99,N64,1998,SPORTS,Electronic Arts
7064,Family Fest presents: Movie Games,WII,2008,ACTION,Ubisoft
11665,Pitfall: The Lost Expedition,GC,2004,PLATFORM,Activision
2171,PilotWings Resort,_3DS,2011,SIMULATION,Nintendo
16536,Metal Gear Solid HD Edition,X360,2011,ACTION,Konami Digital Entertainment
804,Dance Dance Revolution: Hottest Party,WII,2007,SIMULATION,Konami Digital Entertainment
11276,Animal Planet: Emergency Vets,DS,2009,SIMULATION,Activision
12647,Syphon Filter: Logan's Shadow,PS2,2010,SHOOTER,Sony Computer Entertainment
15715,Amagoushi no Yakata,PS2,2007,ADVENTURE,Nippon Ichi Software
567,Guitar Hero: World Tour,X360,2008,MISC,Activision
1987,Monster Rancher 2,PS,1998,SIMULATION,Sony Computer Entertainment
8070,The Chronicles of Narnia: Prince Caspian,X360,2008,ACTION,Disney Interactive Studios
3577,Cabela's Big Game Hunter 2005 Adventures,PS2,2004,SPORTS,Activision
9516,BlazBlue: Continuum Shift II,PSP,2011,FIGHTING,PQube
5188,The Incredibles: Rise of the Underminer,PS2,2005,ACTION,THQ
3596,Fullmetal Alchemist and the Broken Angel,PS2,2003,ROLEPLAYING,Square Enix
6711,Marvel: Ultimate Alliance 2,PSP,2009,ROLEPLAYING,Activision
7074,Rocket League,PS4,2016,SPORTS,505 Games
12674,The Sims 2: University,PC,2005,SIMULATION,Electronic Arts
259,Asteroids,_2600,1980,SHOOTER,Atari
4993,Fragile Dreams: Farewell Ruins of the Moon,WII,2009,ROLEPLAYING,Rising Star Games
8096,FIFA Soccer 11,PC,2010,SPORTS,Electronic Arts
5885,Hard Hitter Tennis,PS2,2001,SPORTS,Midas Interactive Entertainment
1390,Madden NFL 2002,PS,2001,SPORTS,Electronic Arts
14970,Rengoku II:  The Stairway To H.E.A.V.E.N.,PSP,2006,ACTION,Konami Digital Entertainment
13242,GrimGrimoire,PS2,2007,STRATEGY,Tecmo Koei
249,Tony Hawk's Pro Skater 3,PS2,2001,SPORTS,Activision
10707,Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,DS,2009,MISC,Nintendo
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,PUZZLE,Nintendo
2659,Harry Potter and the Half-Blood Prince,WII,2009,ACTION,Electronic Arts
1890,Sonic & Sega All-Stars Racing,DS,2010,RACING,Sega
9475,Under Night In-Birth,PS3,2014,FIGHTING,Nippon Ichi Software
11567,Taz Wanted,GC,2002,PLATFORM,Atari
9638,The Stronghold Collection,PC,2009,STRATEGY,Take-Two Interactive
10166,The Spiderwick Chronicles,X360,2008,ACTION,Vivendi Games
2873,Jeremy McGrath Supercross 2000,PS,2000,RACING,Acclaim Entertainment
5498,Capcom Classics Collection Reloaded,PSP,2006,MISC,Capcom
7552,Saturday Night Speedway,PS2,2004,RACING,Play It
8415,Gauntlet: Dark Legacy,XB,2002,ACTION,Midway Games
11954,Showtime Championship Boxing,WII,2007,FIGHTING,Zoo Digital Publishing
2808,Berzerk,_2600,1981,SHOOTER,Atari
13216,D.Gray-man: Kami no Shitotachi,DS,2007,ADVENTURE,Konami Digital Entertainment
14231,Angler's Club: Ultimate Bass Fishing 3D,_3DS,2011,SPORTS,D3Publisher
12304,Monster Madness: Grave Danger,PS3,2008,SHOOTER,SouthPeak Games
14599,Guitar Freaks V & DrumMania V,PS2,2006,SIMULATION,Konami Digital Entertainment
2975,Kirby's Dream Collection: Special Edition,WII,2012,ACTION,Nintendo
3704,Two Worlds II,X360,2011,ROLEPLAYING,Unknown
11479,Puzzle Chronicles,PSP,2010,PUZZLE,Konami Digital Entertainment
13501,Resident Evil 6,PC,2012,SHOOTER,Capcom
14989,O.M.G. 26 - Our Mini Games,DS,2007,PUZZLE,505 Games
8109,Burnout Legends,DS,2005,RACING,Electronic Arts
5534,The Black Eyed Peas Experience,X360,2011,MISC,Ubisoft
7384,Robotech: Battlecry,XB,N/A,SHOOTER,Unknown
8818,Serious Sam,XB,2002,SHOOTER,Take-Two Interactive
5634,Kirby's Block Ball,GB,1995,PUZZLE,Nintendo
4884,LEGO The Lord of the Rings,_3DS,2012,ACTION,Warner Bros. Interactive Entertainment
13013,RPG Tsukuru DS,DS,2010,ROLEPLAYING,Enterbrain
686,Grand Theft Auto,PS,1997,ACTION,Take-Two Interactive
9194,Dino Crisis 3,XB,2003,ACTION,Capcom
2763,The Walking Dead: Season One,X360,2012,ADVENTURE,Avanquest Software
5464,The Darkness II,PS3,2012,SHOOTER,Take-Two Interactive
11481,NHL Breakaway 99,N64,1998,SPORTS,Acclaim Entertainment
10459,Exit DS,DS,2008,PUZZLE,Square Enix
1281,WWF WrestleMania 2000,N64,1999,FIGHTING,THQ
13998,Fading Shadows,PSP,2008,PUZZLE,Ivolgamus
7709,The Thing,XB,2002,ADVENTURE,Vivendi Games
14258,Crash Time: Autobahn Pusuit,X360,2008,RACING,RTL
3911,Major League Baseball 2K10,X360,2010,SPORTS,Take-Two Interactive
16100,Super PickUps,WII,2009,RACING,XS Games
13546,Painkiller: Hell & Damnation,PS3,2013,SHOOTER,Nordic Games
1907,Joust,_2600,1982,PLATFORM,Atari
10819,Shox,PS2,2002,RACING,Electronic Arts
6831,Boogie SuperStar,WII,2008,MISC,Electronic Arts
6484,Michael Jackson: The Experience,DS,2010,MISC,Ubisoft
15435,Tenkai Knights: Brave Battle,_3DS,2014,ACTION,Namco Bandai Games
3603,Viva Pinata: Pocket Paradise,DS,2008,SIMULATION,THQ
11392,Super Robot Taisen OG Saga: Endless Frontier,DS,2008,ROLEPLAYING,Namco Bandai Games
11151,Shrek Smash n' Crash Racing,PSP,2006,RACING,Activision
1192,Final Fight,SNES,1990,ACTION,Capcom
3124,Mary-Kate and Ashley: Magical Mystery Mall,PS,2000,ADVENTURE,Acclaim Entertainment
13001,Pony Friends,DS,2007,SIMULATION,Eidos Interactive
14603,Gekido Advance: Kintaro's Revenge,GBA,2002,ACTION,Zoo Digital Publishing
15506,Katekyoo Hitman Reborn! Dream Hyper Battle!,PS2,2007,FIGHTING,Marvelous Interactive
10929,U-Sing  2,WII,2010,MISC,Mindscape
6014,Ace Combat: Joint Assault,PSP,2010,SIMULATION,Namco Bandai Games
12452,Zero Escape: Zero Time Dilemma,PSV,2016,ADVENTURE,Aksys Games
1705,Just Dance 4,X360,2012,MISC,Ubisoft
301,Professor Layton and the Diabolical Box,DS,2007,PUZZLE,Nintendo
7771,Jissen Pachi-Slot Hisshouhou,SNES,1993,MISC,Sammy Corporation
13220,Jikkyou Oshaberi Parodius,SNES,1995,SHOOTER,Konami Digital Entertainment
6909,Viva Pinata: Party Animals,X360,2007,MISC,Microsoft Game Studios
11411,Zero: Tsukihami no Kamen,WII,N/A,ACTION,Nintendo
7744,The King of Fighters XI,PS2,2006,FIGHTING,Ignition Entertainment
10934,Let's Ride! Silver Buckle Stables,PS2,2006,SPORTS,THQ
16374,S.Y.K: Shinsetsu Saiyuuki Portable,PSP,2010,ADVENTURE,Idea Factory
14725,Max Payne 2: The Fall of Max Payne,PC,2003,SHOOTER,Take-Two Interactive
5720,Sesame Street: Elmo's Letter Adventure,PS,1998,MISC,NewKidCo
7369,MVP Baseball,PSP,2005,SPORTS,Electronic Arts
12210,Cold Stone Creamery: Scoop It Up,WII,2009,MISC,Zoo Games
15713,Ginga Tetsudou 999 DS,DS,2010,ADVENTURE,Culture Brain
7738,Iron Chef America: Supreme Cuisine,DS,2008,SIMULATION,Destineer
10620,Choujikuu Yousai Macross: Ai Oboete Imasu ka,SAT,1997,SHOOTER,Namco Bandai Games
12654,Pop'n TwinBee: Rainbow Bell Adventure,SNES,1993,PLATFORM,Konami Digital Entertainment
7041,Dynasty Warriors: Strikeforce,X360,2009,ACTION,Tecmo Koei
